Tiempo (ms),Trayectoria 5,Trayectoria 6
7893,5.9454345703125,8.8345947265625
7926,5.85829544067383,8.8931884765625
7959,5.73166275024414,8.95549011230469
7993,5.61959075927734,8.95278930664063
8026,5.55656814575195,8.84527587890625
8059,5.53886795043945,8.65269470214844
8092,5.5426025390625,8.44235229492188
8126,5.5450439453125,8.28529357910156
8159,5.53526306152344,8.21110534667969
8192,5.51790618896484,8.20175170898438
8226,5.51044082641602,8.21818542480469
8259,5.52598571777344,8.22271728515625
8292,5.54979705810547,8.18623352050781
8326,5.54475402832031,8.08906555175781
8359,5.48321151733398,7.92442321777344
8392,5.35951614379883,7.70968627929688
8425,5.17876434326172,7.49327087402344
8459,4.95392990112305,7.3321533203125
8492,4.71813201904297,7.25517272949219
8525,4.52060699462891,7.25607299804688
8559,4.39507675170898,7.31468200683594
8592,4.34143829345703,7.41378784179688
8625,4.33923721313477,7.54316711425781
8659,4.3666877746582,7.69691467285156
8692,4.40917205810547,7.86293029785156
8725,4.45913314819336,8.009033203125
8759,4.51211929321289,8.0931396484375
8792,4.56404495239258,8.09681701660156
8825,4.61125946044922,8.03724670410156
8858,4.65188598632813,7.94766235351563
8892,4.68661880493164,7.85638427734375
8925,4.71811294555664,7.77937316894531
8958,4.74920654296875,7.72454833984375
8992,4.7808837890625,7.70028686523438
9025,4.81057739257813,7.71951293945313
9058,4.8310661315918,7.79473876953125
9091,4.83221435546875,7.92008972167969
9125,4.80779266357422,8.05380249023438
9158,4.76085662841797,8.13594055175781
9191,4.70119857788086,8.13424682617188
9225,4.64117431640625,8.06361389160156
9258,4.59647750854492,7.96957397460938
9291,4.58779144287109,7.9072265625
9325,4.63750457763672,7.92311096191406
9358,4.75983810424805,8.02999877929688
9391,4.94838714599609,8.18505859375
9425,5.16747283935547,8.30815124511719
9458,5.35831832885742,8.335693359375
9491,5.47023391723633,8.25950622558594
9524,5.49279022216797,8.12957763671875
9558,5.45165634155273,8.02006530761719
