Tiempo (ms),Trayectoria 7,Trayectoria 8
4929,4.93002319335938,4.99607849121094
4962,4.89163970947266,4.912109375
4995,4.78474426269531,4.84030151367188
5029,4.65641784667969,4.79057312011719
5062,4.57834243774414,4.77116394042969
5095,4.59103012084961,4.78410339355469
5129,4.682861328125,4.81539916992188
5162,4.81372451782227,4.81961059570313
5195,4.94004058837891,4.7286376953125
5228,5.02542495727539,4.5257568359375
5262,5.04360198974609,4.30816650390625
5295,4.98140335083008,4.21810913085938
5328,4.85233688354492,4.31224060058594
5362,4.71035003662109,4.52279663085938
5395,4.62496566772461,4.7314453125
5428,4.6282844543457,4.86271667480469
5462,4.69845962524414,4.91062927246094
5495,4.78888702392578,4.90945434570313
5528,4.86241912841797,4.9063720703125
5562,4.91788482666016,4.9490966796875
5595,4.9957389831543,5.07200622558594
5628,5.13600921630859,5.26943969726563
5662,5.32295608520508,5.47506713867188
5695,5.48146438598633,5.5927734375
5728,5.52890777587891,5.56263732910156
5761,5.43933486938477,5.395751953125
5795,5.26242828369141,5.16744995117188
5828,5.07627868652344,4.97721862792969
5861,4.94027328491211,4.89190673828125
5895,4.89917755126953,4.929443359375
5928,4.977783203125,5.08146667480469
5961,5.14115524291992,5.31643676757813
5995,5.30613708496094,5.56768798828125
6028,5.4063720703125,5.76164245605469
6061,5.42010879516602,5.87161254882813
6094,5.35196304321289,5.9200439453125
6128,5.21810913085938,5.92471313476563
6161,5.05158996582031,5.8677978515625
6194,4.90763854980469,5.7408447265625
6228,4.8350944519043,5.60295104980469
6261,4.83213043212891,5.55426025390625
6294,4.84803771972656,5.64445495605469
6327,4.83646392822266,5.81846618652344
6361,4.80263900756836,5.95169067382813
6394,4.78961944580078,5.94657897949219
6427,4.82140350341797,5.81185913085938
6461,4.8764533996582,5.63818359375
6494,4.90713882446289,5.50303649902344
6527,4.86848068237305,5.42689514160156
6561,4.74833679199219,5.3966064453125
6594,4.58982467651367,5.393310546875
6627,4.46673965454102,5.40301513671875
6661,4.42401504516602,5.41592407226563
6694,4.45283508300781,5.42074584960938
6727,4.51153945922852,5.3997802734375
6760,4.55035018920898,5.32928466796875
6794,4.52565002441406,5.18960571289063
6827,4.41217422485352,4.98881530761719
6860,4.21997833251953,4.77946472167969
6894,4.00405502319336,4.62649536132813
6927,3.8370475769043,4.54818725585938
6960,3.76275634765625,4.50634765625
6994,3.78744506835938,4.45036315917969
7027,3.90526962280273,4.36941528320313
7060,4.11077880859375,4.31706237792969
7093,4.38217163085938,4.36018371582031
7127,4.65962219238281,4.48832702636719
7160,4.86157989501953,4.61228942871094
7193,4.93043899536133,4.64884948730469
7227,4.85189056396484,4.56809997558594
7260,4.64908981323242,4.3905029296875
7293,4.37734222412109,4.18304443359375
7327,4.09843063354492,4.0299072265625
7360,3.85038375854492,3.97496032714844
7393,3.65829467773438,4.00399780273438
7426,3.54599380493164,4.07656860351563
7460,3.51336669921875,4.15721130371094
7493,3.53173828125,4.22785949707031
7526,3.57282257080078,4.28938293457031
7560,3.63095855712891,4.35838317871094
7593,3.72390365600586,4.46206665039063
7626,3.87729263305664,4.62654113769531
7660,4.09502792358398,4.85115051269531
7693,4.33639144897461,5.08682250976563
7726,4.53862380981445,5.26271057128906
7759,4.66780471801758,5.34317016601563
7793,4.73307800292969,5.34242248535156
7826,4.76076126098633,5.29441833496094
7859,4.77149963378906,5.22740173339844
7893,4.77309036254883,5.15596008300781
7926,4.76152801513672,5.08015441894531
7959,4.72518920898438,4.98715209960938
7993,4.648681640625,4.85545349121094
8026,4.51615524291992,4.66575622558594
8059,4.31949615478516,4.42431640625
8092,4.07693099975586,4.18208312988281
8126,3.84450149536133,4.00740051269531
8159,3.68662643432617,3.9298095703125
8192,3.6273193359375,3.92787170410156
8226,3.64188766479492,3.96205139160156
8259,3.68575668334961,4
8292,3.71648788452148,4.01838684082031
8326,3.69970703125,3.99491882324219
8359,3.61280059814453,3.90394592285156
8392,3.45733261108398,3.724365234375
8425,3.26759719848633,3.46432495117188
8459,3.08442306518555,3.18214416503906
8492,2.91630935668945,2.96011352539063
8525,2.75329208374023,2.84794616699219
8559,2.61785507202148,2.84844970703125
8592,2.56740188598633,2.947265625
8625,2.64501190185547,3.13156127929688
8659,2.8503532409668,3.37565612792969
8692,3.14129638671875,3.61994934082031
8725,3.44147491455078,3.79304504394531
8759,3.67291641235352,3.86410522460938
8792,3.80222320556641,3.85533142089844
8825,3.84494018554688,3.81202697753906
8858,3.83205795288086,3.77972412109375
8892,3.78421783447266,3.79803466796875
8925,3.70598220825195,3.89352416992188
8958,3.59062576293945,4.05477905273438
8992,3.43151473999023,4.20777893066406
